id,name,domain,metric_type,frontier_class,direction,unit,year,value,source_name,source_url,provenance_note
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1974,971197500.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1975,889963500.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1979,659504640.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1980,581068400.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1981,526733060.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1982,496166180.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1983,311560640.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1984,93411096.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1985,75509450.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1986,43568096.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1987,34098050.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1988,21804590.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1989,15619105.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1990,6473702.5,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1991,5305435.5,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1992,2581653.8,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1993,1285597.1,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1994,756563.3,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1995,363161.03,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1996,210479.83,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1997,78025.63,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1998,39446.848,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1999,13728.494,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2000,6119.5728,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2001,3784.983,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2002,1750.348,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2003,1054.8236,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2004,834.9087,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2005,538.3613,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2006,280.7894,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2007,249.62152,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2008,120.195786,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2009,84.43383,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2010,53.41057,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2011,42.180378,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2012,41.325172,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2013,40.728596,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2014,38.263657,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2015,30.934978,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2016,29.870232,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2017,26.396357,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2018,24.086998,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2019,18.981318,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2020,16.25,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2021,15.520827,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2022,12.637437,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,2023,10.617382,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2013,780,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2014,692,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2015,448,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2016,345,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2017,258,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2018,211,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2019,183,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2020,160,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2021,132,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2022,151,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2023,139,BloombergNEF,https://about.bnef.com/blog/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2024,115,BloombergNEF,https://about.bnef.com/insights/commodities/lithium-ion-battery-pack-prices-see-largest-drop-since-2017-falling-to-115-per-kilowatt-hour-bloombergnef/,BNEF annual battery price survey.
li_ion_battery_pack_price,Lithium-ion battery pack price,energy-storage,cost-efficiency,average,lower_better,USD per kWh,2025,108,BloombergNEF,https://battery-tech.net/battery-markets-news/lithium-ion-battery-pack-prices-hit-record-low-at-108-kwh/,BNEF annual battery price survey.
solar_pv_module_price,Solar PV module price,energy,cost-efficiency,average,lower_better,constant 2024 USD per watt,1975,128.26924,Our World in Data,https://ourworldindata.org/grapher/solar-pv-prices,Auto-ingested from OWID grapher slug 'solar-pv-prices' filtered to Entity=World.
solar_pv_module_price,Solar PV module price,energy,cost-efficiency,average,lower_better,constant 2024 USD per watt,1976,96.507935,Our World in Data,https://ourworldindata.org/grapher/solar-pv-prices,Auto-ingested from OWID grapher slug 'solar-pv-prices' filtered to Entity=World.
solar_pv_module_price,Solar PV module price,energy,cost-efficiency,average,lower_better,constant 2024 USD per watt,1977,70.407074,Our World in Data,https://ourworldindata.org/grapher/solar-pv-prices,Auto-ingested from OWID grapher slug 'solar-pv-prices' filtered to Entity=World.
solar_pv_module_price,Solar PV module price,energy,cost-efficiency,average,lower_better,constant 2024 USD per watt,1978,49.813416,Our World in Data,https://ourworldindata.org/grapher/solar-pv-prices,Auto-ingested from OWID grapher slug 'solar-pv-prices' filtered to Entity=World.
solar_pv_module_price,Solar PV module price,energy,cost-efficiency,average,lower_better,constant 2024 USD per watt,1979,41.855152,Our World in Data,https://ourworldindata.org/grapher/solar-pv-prices,Auto-ingested from OWID grapher slug 'solar-pv-prices' filtered to Entity=World.
solar_pv_module_price,Solar PV module price,energy,cost-efficiency,average,lower_better,constant 2024 USD per watt,1980,35.46944,Our World in Data,https://ourworldindata.org/grapher/solar-pv-prices,Auto-ingested from OWID grapher slug 'solar-pv-prices' filtered to Entity=World.
